Employee_ID,Department,Job_Level,Age,Years_At_Company,Salary,Performance_Rating,Work_Mode,Overtime,Left_Company
EMP00001,Sales,Junior,24,1,32000,2,On-site,Yes,Yes
EMP00002,Finance,Mid,35,7,78000,4,Hybrid,No,No
EMP00003,IT,Mid,29,3,62000,3,Remote,No,No
EMP00004,HR,Senior,42,10,91000,4,Hybrid,No,No
EMP00005,Sales,Junior,27,2,45000,1,On-site,Yes,Yes
EMP00006,Operations,Senior,39,8,69000,4,On-site,No,No
EMP00007,IT,Senior,31,5,84000,5,Remote,No,No
EMP00008,Finance,Junior,26,2,52000,2,Hybrid,Yes,Yes
EMP00009,HR,Mid,33,6,71000,3,Remote,No,No
EMP00010,Sales,Mid,30,4,56000,2,Hybrid,Yes,Yes
EMP00011,Operations,Senior,48,12,98000,5,On-site,No,No
EMP00012,IT,Senior,37,9,105000,4,Remote,No,No
EMP00013,Finance,Junior,23,1,41000,3,Hybrid,No,No
EMP00014,Sales,Junior,28,1,39000,2,On-site,Yes,Yes
EMP00015,HR,Senior,45,11,102000,5,Hybrid,No,No
EMP00016,Operations,Junior,34,3,59000,2,On-site,Yes,Yes
EMP00017,IT,Junior,25,2,51000,2,Remote,Yes,Yes
EMP00018,Finance,Senior,41,9,89000,4,Hybrid,No,No
